created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Thu Jun 02 13:31:00 +0000 2022,1532354093469118470,"Ahead of our first ever race in Jakarta on Saturday, all of our 22 drivers were welcomed at the National Monument by Governor Anies Baswedan before reigning World Champion @nyckdevries showed off the Formula E Gen2 car.  This event marked the opening of the 2022 #JakartaEPrix! ⚡ https://t.co/oTSLxTNkYx",53,61,733,2835,en,703581570,1532354093469118470,FIAFormulaE,https://twitter.com/FIAFormulaE/status/1532354093469118470,nyckdevries
Tue May 31 11:57:59 +0000 2022,1531605911415902209,@marlina_idha The beauty too. Pak Anies banget🤭🤗 https://t.co/je6ZnR6Q3t,1,46,22,168,en,1290610306717118465,1531518836410683393,benuaandin,https://twitter.com/benuaandin/status/1531605911415902209,marlina_idha
Tue May 31 06:11:59 +0000 2022,1531518836410683393,Beautiful view Pak Anies banget 🤭😊 https://t.co/0Gdnqae3KL,48,386,530,4430,en,719725925215170561,1531518836410683393,marlina_idha,https://twitter.com/marlina_idha/status/1531518836410683393,
Tue May 17 03:21:17 +0000 2022,1526402448029523968,Anies Semakin Melejit https://t.co/39skTQ6U5v,12,34,261,1512,en,1443801854756880385,1526402448029523968,kba_news,https://twitter.com/kba_news/status/1526402448029523968,
Mon May 16 06:30:34 +0000 2022,1526087694408896512,"Key Indonesian govmt visitors this Spring: Foreign Min Retno Marsudi, Invmt Minister Bahlil Lahadalia &amp  JKT Governor Anies Baswedan for 🇬🇧 🇮🇩 Roadmap 2022-2025 &amp  three business MoUs on electric batteries, buses and Jakarta MRT extension. Forward green tech together! https://t.co/MAjg2oFOgm",18,29,190,802,en,1530621674,1526087694408896512,RichardGrahamUK,https://twitter.com/RichardGrahamUK/status/1526087694408896512,
Sun May 15 12:18:48 +0000 2022,1525812941651873792,"Bertemu Lord Mayor of The City of London, Anies Baswedan Membahas Target Zero Emission 2050! https://t.co/sAcgvCYXP2",2,3,77,298,en,1226436091617505281,1525812941651873792,keuangannews_id,https://twitter.com/keuangannews_id/status/1525812941651873792,
Sat May 14 20:17:08 +0000 2022,1525570933481787392,"Bertemu Lord Mayor of The City of London, Anies Baswedan Membahas Target Zero Emission 2050! https://t.co/sAcgvCYpZu",15,23,91,633,en,1226436091617505281,1525570933481787392,keuangannews_id,https://twitter.com/keuangannews_id/status/1525570933481787392,
Sat May 14 03:38:09 +0000 2022,1525319530326925312,"Bertemu Lord Mayor of The City of London, Anies Baswedan Bahas Target Zero Emission 2050 https://t.co/z86alUFiRX",6,30,143,664,en,887743587579944960,1525319530326925312,OposisiCerdas,https://twitter.com/OposisiCerdas/status/1525319530326925312,
Fri May 13 11:46:01 +0000 2022,1525079916668399617,"No matter who will be the next President of Republic of Indonesia, but he isn't Mr. Anies Baswedan or who supported by intolerant and radical groups.  . Without them Indonesia will be Great..",7,30,31,144,en,1420219650231574533,1525079916668399617,arifin34533,https://twitter.com/arifin34533/status/1525079916668399617,
Fri May 13 03:37:55 +0000 2022,1524957084600893441,Anies The Rising Star  Bismillah RI 1 🤭😊 https://t.co/5Iq5K4zLZa,5,68,118,1030,en,719725925215170561,1524957084600893441,marlina_idha,https://twitter.com/marlina_idha/status/1524957084600893441,
Tue May 10 02:00:35 +0000 2022,1523845422586155008,💯👍Mas Anies Baswedan for Presiden 👍💯 https://t.co/A5fyTxZN0Y,19,10,104,316,en,1435534074421022725,1523845422586155008,ibnu_muzab,https://twitter.com/ibnu_muzab/status/1523845422586155008,
Mon May 09 13:56:02 +0000 2022,1523663084815978498,Best of The Best Leader in Indonesia ... Sir Anies Rasyid Baswedan 👍👍👍 #AniesUntukIndonesia  #AniesForPresident,3,10,70,186,en,242031244,1523663084815978498,AnshariJasmine,https://twitter.com/AnshariJasmine/status/1523663084815978498,
Mon May 09 03:26:43 +0000 2022,1523504711944785920,2024 Anies Baswedan next President of Indonesia 🙏,5,50,103,807,en,1334853481019056128,1523504711944785920,Mdy_Asmara1701,https://twitter.com/Mdy_Asmara1701/status/1523504711944785920,
Sat May 07 11:21:45 +0000 2022,1522899484203618304,Happy Birthday pak Anies yang ke 53 tahun 🥳🎉  #BarakallahFiiUmrikPakAnies 🙏 https://t.co/raBmUnQH0z,23,67,426,2826,tl,1334853481019056128,1522899484203618304,Mdy_Asmara1701,https://twitter.com/Mdy_Asmara1701/status/1522899484203618304,
Fri May 06 09:37:55 +0000 2022,1522510966436646913,"I start my new job as director of the Asia-Pacific Programme at @ChathamHouse next week and am pleased to be kicking off by hosting Anies Baswedan, the Governor of Jakarta and a possible 2024 presidential contender, for an in-person members' event https://t.co/FVc3sgnGkb",0,10,11,153,en,34003766,1522510966436646913,benjaminbland,https://twitter.com/benjaminbland/status/1522510966436646913,ChathamHouse
Thu May 05 01:20:36 +0000 2022,1522023423396179970,Anies VS Anies Idem https://t.co/KHdcDxQZnb,2,10,59,242,en,1405723264710709248,1522023423396179970,KerjaHasil_id,https://twitter.com/KerjaHasil_id/status/1522023423396179970,
Mon May 02 12:35:58 +0000 2022,1521106222056828929,Mr. Anies Baswedan's spectacular work. https://t.co/TeuKq55Jwn,9,16,185,882,en,834388208376963072,1521106222056828929,maju_ahmad,https://twitter.com/maju_ahmad/status/1521106222056828929,
Fri Apr 29 10:05:33 +0000 2022,1519981204640251904,Anies for presiden   ((presiden monaslimin)) https://t.co/4yZroZIWeP,42,87,115,327,en,2755262034,1519981204640251904,kesittt,https://twitter.com/kesittt/status/1519981204640251904,
Sun Apr 24 08:13:24 +0000 2022,1518141041752555520,Anies sehat? https://t.co/0u15ksbiTD,2,8,35,159,en,1303252304301236224,1518141041752555520,AyaniMel,https://twitter.com/AyaniMel/status/1518141041752555520,
Fri Apr 22 13:38:49 +0000 2022,1517498157302796293,SOFT LAUNCHING JIS MALAM  #StadionKita  Kereen Anies 🥰😍 https://t.co/3lYZKzNpBe,7,13,53,204,en,1341306140286726144,1517498157302796293,TSolihien,https://twitter.com/TSolihien/status/1517498157302796293,
Sat Apr 16 16:34:59 +0000 2022,1515368166989660163,relawan anies https://t.co/re64F9Dey0,1,5,47,198,en,1178950184601935873,1515360595515949061,MurtadhaOne1,https://twitter.com/MurtadhaOne1/status/1515368166989660163,
Wed Apr 13 15:15:36 +0000 2022,1514261023666352130,I hope i'm not too late for #PortfolioDay   I like drawing cute girls wearing techwear https://t.co/2j7iIpqInW,0,11,85,670,en,998788105736876032,1514261023666352130,Anies_only,https://twitter.com/Anies_only/status/1514261023666352130,
Mon Apr 11 11:41:32 +0000 2022,1513482375527022596,"RELAWAN ANIES"" . . . https://t.co/QEPw2oBTCe""",86,199,642,1589,en,1159689173340585984,1513482375527022596,__AnakKolong,https://twitter.com/__AnakKolong/status/1513482375527022596,
Mon Apr 11 01:20:50 +0000 2022,1513326172163117065,Bye anies 😂 https://t.co/hJ5q2Xk8jh,19,82,126,957,en,914271535,1513326172163117065,Bungfranks,https://twitter.com/Bungfranks/status/1513326172163117065,
Thu Apr 07 15:28:24 +0000 2022,1512089918356410374,I love you❤ Pak Anies Baswedan,2,14,65,290,en,1417489643759710208,1512089918356410374,MissKoral,https://twitter.com/MissKoral/status/1512089918356410374,
Sun Apr 03 00:58:44 +0000 2022,1510421509990404098,Survey: Anies is the Most Liked Presidential Candidate in 2024 https://t.co/U7C2TPhAMG,8,17,223,1140,en,1443801854756880385,1510421509990404098,kba_news,https://twitter.com/kba_news/status/1510421509990404098,
Tue Mar 29 14:55:24 +0000 2022,1508820123339358214,Commission for @dan19_danny thank you! 🥳❤️ https://t.co/8PWGevOs8D,1,9,73,616,en,998788105736876032,1508820123339358214,Anies_only,https://twitter.com/Anies_only/status/1508820123339358214,dan19_danny
